Continent,N Raw Dates (including duplicates),N Scrubbed Dates,% Dates Retained,Mean Error (years),Median Error (years)
Africa,14860,11101,74.70390309555854,97.82370957571379,70
Asia,21828,13995,64.1148982957669,134.90403715612672,70
Australia,3661,3657,99.89074023490849,82.50287120590642,70
Central America,1223,1217,99.50940310711366,52.920295809367296,42
Europe,119106,77144,64.76919718570014,96.99481489162791,50
North America,102288,64905,63.45319099014547,72.0144672983586,50
South America,9568,7670,80.16304347826087,81.39986962190311,70
