CODE,LAB_NAME,LOCATION,PARENT_CODE
LTL,University of Lecce,Italy,
LTLa,University of Lecce,Italy,
Lu,Lund,Sweden,
LU,St. Petersburg State Univesity,Russia,
LuA,Lund,Sweden,
LUS,Lund University,Sweden,
Lv,Louvain-la-Neuve,Belgium,
Ly,Louvain-la-Neuve,Belgium,
Ly,University of Lyon,France,
Lyon,University of Lyon,France,
LZ,Umweltforschungszentrum Leipzig-Halle,Germany,
M,University of Michigan,USA,
Ma,University of Winnepeg,Canada,
MAG,Quaternary Geology and Geochronology Laboratory,Russia,
MAMS,Curt-Engelhorn-Zentrum Archaeometrie,Germany,
MC,Centre Scientifique de Monaco,Monaco,
METU,Middle East Technical University,Turkey,
MKL,Laboratory of Absolute Dating,Poland,
ML,Miami,USA,
Mo,"Verdanski Inst. of Geochemistry, Moscow",USSR,
MOC,"Archaeological Institute, Czechoslovak Acad. of Sci.",Czechoslovakia,
MP,Magnolia Petroleum,USA,
MRRI,Marine Resources Research Institute,USA,
MSU,Moscow State University,Russia,
MTC,University of Tokyo,Japan,
N,Nishina Memorial,Japan,
NIST,National Institute of Standards and Technology,USA,
NOSAMS,"National Ocean Sciences AMS Facility, Woods Hole Oceanographic Inst.",USA,
NPL,"National Physical Laboratory, Middlesex",England,
NPS,"National Physical Lab., Middlesex",England,
NS,Nova Scotia Research Foundation,Canada,
NSRL,"INSTAAR AMS Lab, U of Colorado",USA,
NSTF,"Nuclear Science and Technology Facility, State Univ. of New York",USA,
NSW,U. of New South Wales,Australia,
NTU,National Taiwan University,Republic of China,
NU,Nihon University,Japan,
NUTA,Tandetron AMS Lab,Japan,
Ny,"Nancy, Centre de Recherches Radiogeologiques",France,
NZ,Rafter Radiocarbon Lab,New Zealand,
NZA,Rafter Radiocarbon Lab (AMS),New Zealand,
O,Humble Oil & Refining,USA,
OBDY,ORSTOM Bondy,France,
OR,Research Center of Radioisotopes,Japan,
ORINS,Oak Ridge Institute of Nuclear Studies,USA,
OWU,Ohio Wesleyan Univ.,USA,
OX,"USDA Oxford, Mississippi",USA,
OxA,Oxford Radiocarbon Accelerator Unit,England,
OZ,ANSTO-ANTARES,Australia,
P,University of Pennsylvania,USA,
P,"Max-Planck-Institut für Biogeochemie, Jena",Germany,
PAL,Palynosurvery Co.,Japan,
Pi,Pisa,Italy,
PI,Permafrost Institute,Russia,
PIC,Packard,USA,
PITT,University of Pittsburgh,USA,
PKU,Peking University,China,
PKUAMS,Peking University AMS lab,China,
PL,Purdue Rare Isotope Measurement Laboratory,USA,
PLD,"Paleo Laboratory Co., Ltd.",Japan,
Poz,Poznan Radiocarbon Laboratory,Poland,
Pr,Prague,Czechoslovakia,
PRI,PaleoResearch Institute,USA,
PRL,Physical Research Laboratory,India,
PRLCH,Physical Research Laboratory (Chemistry Dept.),India,
PSU,Pennsylvania State Univ.,USA,
Pta,Pretoria,South Africa,
Q,Cambridge,England,
QC,Queens College,USA,
QL,Quaternary Isotope Laboratory,USA,
QU,"Centre de Recherches Minérales, Québec",Canada,
R,Rome,Italy,
RCD,Radiocarbon Dating,England,
RCMib,Milano Bicocca University,Italy,
RI,"Radiochemistry, Inc.",USA,
RICH,Royal Institute for Cultural Heritage,Belgium,
RIDDL,Simon Fraser Univ.,Canada,
Riga,Institute of Science,Latvia,
RL,"Radiocarbon, Ltd.",USA,
RoAMS,National Insti. For Physics and Nuclear Engineering,Romania,
Rome,"Department of Earth Sciences, Rome",Italy,
RT,Rehovot,Israel,
RTK,Rehovot,Israel,
RU,Rice University,USA,
S,Saskatchewan,Canada,
Sa,"Saclay, Gif-sur-Yvette",France,
Sac,Instituto Tecnológico e Nuclear,Portugal,
SacA,Gif sur Yvette (Saclay),France,
SFU,Simon Fraser Univ.,Canada,
Sh,Shell Development Co.,USA,
SI,Smithsonian Institution,USA,
SL,Sharp Laboratories,USA,
SM,"Mobil Oil Corp., Dallas",USA,
SMU,Southern Methodist Univ.,USA,
SNU,Seoul National Univ.,Korea,
SOAN,Institute of Geology and Geophysics,Russia,
SR,"Salisbury, Rhodesia",Rhodesia,
SRR,NERC Radiocarbon Laboratory,Scotland,
St,Stockholm,Sweden,
Su,Finland,Finland,
SUA,Sydney University,Australia,
SUERC,Scottish Universities Environmental Research Centre,Scotland,
SWA,Swansea,Wales,
T,Trondheim,Norway,
Ta,Tartu,Estonia,
TAM,Texas A & M University,USA,
TB,Tblisi,Georgia,
TBNC,Kaman Instruments (formerly Texas-Bio-Nuclear),USA,
TEM,Temple University,USA,
TF,Tata Institute of Fundamental Research,India,
TK,University of Tokyo,Japan,
TKa,University of Tokyo AMS,Japan,
TKU,Turku,Finland,
Tln,Tallinn,Estonia,
TO,IsoTrace Laboratory,Canada,
TRa,Trondheim (AMS),Norway,
TUa,Trondheim (AMS),Norway,
TUBITAK,TUBITAK National AMS Laboratory,Turkey,
TUNC,Tehran University Nuclear Centre,Iran,
Tx,Texas,USA,
U,Uppsala University,Sweden,
Ua,Uppsala Accelerator,Sweden,
UB,Belfast,Northern Ireland,
UBA,Belfast,Northern Ireland,
UBAR,University of Barcelona,Spain,
UBAR,University of Barcelona,Spain,
UCD,"University College, Dublin",Ireland,
UCI,"University of California, Irvine",USA,
UCIAMS,"University of California, Irvine",USA,
UCLA,"University of California, Los Angeles",USA,
UCR,"University of California, Riverside",USA,
UD,Udine,Italy,
UGa,University of Georgia,USA,
UGAMS,University of Georgia,USA,
UGRA,University of Granada,Spain,
UL,University of Laval,Canada,
ULA,University of Laval,Canada,
UM,University of Miami,USA,
UNAM,National Autonomous University of Mexico,Mexico,
UOC,University of Ottawa,Canada,
UQ,University of Quebec at Montreal,Canada,
URCRM,Ukrainian Research Ctr. for Radiation Medicine,Ukraine,
URU,University of Uruguay,Uruguay,
USGS,"USGS, Menlo Park",USA,
UtC,Utrecht van der Graaf Laboratorium,The Netherlands,
UTCAG,"University of Tennessee, Center for Archaeometry and Geochronology",USA,
UW,University of Washington,USA,
V,"Melbourne, Victoria",Australia,
VERA,Institut für Radiumforschung und Kernphysik,Austria,
VRI,Vienna Radium Institute,Austria,
Vs,"Vilnius, Nat. Res. Ctr.",Lithuania,
W,"USGS, National Center",USA,
WAT,University of Waterloo,Canada,
WHAMS,National Ocean Sciences AMS Facility,USA,
WIS,University of Wisconsin,USA,
Wk,University of Waikato,New Zealand,
WRD,"USGS Washington, D.C. Water Resources Division",USA,
WSU,Washington State Univ.,USA,
X,Whitworth College,USA,
XLLQ,Whitworth College,USA,
XLLQ,Xian Laboratory of Loess and Quaternary Geology,China,
Y,Yale University,USA,
Ya,Yale University,USA,
YU,Yamagata University,Japan,
Z,Zagreb,Croatia,
Aeon,Aeon Laboratories,,
WRC,"WRC Radiocarbon Laboratory, Water Resources Center, Desert Research Institute",USA,
CWRU,"Case Western Reserve University, Cleveland,Ohio.",USA,
CRNL,"Chalk River Nuclear Laboratories, Chalk River, Canada",Canada,
NWU,Nebraska Weslyan University,USA,
Grey,"small lab run by Don Grey (a physicist, I believe) for a few years in the 1960s/70s in his garage in Sheridan, Wyoming. ",USA,
ARCF,"Archaeological Center Research Facility, University of Utah",USA,
ARP,National Science Foundation,USA,
bata,Beta Analytic,USA,Beta
Berger,UCLA,USA,
Bern,Bern,Switzerland,
betaaa,Beta Analytic,USA,
betaams,Beta Analytic,USA,
Betac,Beta Analytic,USA,
betacams,Beta Analytic/Center for Accelerator Mass Spectrometry,USA,
CAIS,University of Georgia,USA,
Csub,California St. U-Bakersfield,USA,
CURL,"INSTAAR AMS Lab, U of Colorado",USA,
eta,Beta Analytic,USA,Beta
Ga,University of Georgia,USA,
hak,Gakushuin University,Japan,Gak
i(mnm),Teledyne Isotopes,USA,
INAH,Instituo Nacional de Antropologia e Historia,Mexico,
IS,Iowa State University,USA,
isotopes,Teledyne Isotopes,USA,
ivc,Caracas,Venezuela,
llnl,Lawrence Livermore National Lab,USA,
mohlab,Michels Obsidian Hydration Lab,,
murr,University of Missouri Research Reactor,USA,
nita,Trusted by Alessio,,
nslr,"INSTAAR AMS Lab, U of Colorado",USA,
os,NOSAMS – Woods Hole Oceanographic Institution,,
oza,"OZ – ANTARES Laboratory, Sydney",Australia,
ozb,"OZ – ANTARES Laboratory, Sydney",Australia,
ozc,"OZ – ANTARES Laboratory, Sydney",Australia,
ozd,"OZ – ANTARES Laboratory, Sydney",Australia,
oze,"OZ – ANTARES Laboratory, Sydney",Australia,
ozf,"OZ – ANTARES Laboratory, Sydney",Australia,
ozg,"OZ – ANTARES Laboratory, Sydney",Australia,
ozh,"OZ – ANTARES Laboratory, Sydney",Australia,
ozi,"OZ – ANTARES Laboratory, Sydney",Australia,
ozj,"OZ – ANTARES Laboratory, Sydney",Australia,
ozk,"OZ – ANTARES Laboratory, Sydney",Australia,
ozl,"OZ – ANTARES Laboratory, Sydney",Australia,
ozm,"OZ – ANTARES Laboratory, Sydney",Australia,
ozn,"OZ – ANTARES Laboratory, Sydney",Australia,
ozo,"OZ – ANTARES Laboratory, Sydney",Australia,
ozp,"OZ – ANTARES Laboratory, Sydney",Australia,
ozq,"OZ – ANTARES Laboratory, Sydney",Australia,
ozr,"OZ – ANTARES Laboratory, Sydney",Australia,
ozs,"OZ – ANTARES Laboratory, Sydney",Australia,
ozt,"OZ – ANTARES Laboratory, Sydney",Australia,
ozu,"OZ – ANTARES Laboratory, Sydney",Australia,
ozv,"OZ – ANTARES Laboratory, Sydney",Australia,
ozw,"OZ – ANTARES Laboratory, Sydney",Australia,
ozx,"OZ – ANTARES Laboratory, Sydney",Australia,
ozy,"OZ – ANTARES Laboratory, Sydney",Australia,
ozz,"OZ – ANTARES Laboratory, Sydney",Australia,
psuams,Pennsylvania State Univ.,USA,
Saskatcheean,University of Saskatchewan,Canada,S
Schatzmana,Fred Schatzman,USA,
Schatzmanb,Fred Schatzman,USA,
tamu,Texas A & M University,USA,
TBN,Kaman Instruments (formerly Texas-Bio-Nuclear),USA,
teledynei,Teledyne Isotopes,USA,
Uc,"University of California, Irvine",USA,
uca,"University of California, Irvine",USA,
ucka,UCLA,USA,
Ucsd,UC San Diego,USA,
ugam,Ugams,,UGAMS
Ulb,Universite Libre de Bruxelles,,
ulca,UCLA,USA,UCLA
unl,University of Nebraska-Lincoln,USA,
upitt,University of Pittsburgh,USA,
Tucson,University of Arizona Tucson,USA,
bk,Peking University,China,
gda,Gliwice,Poland,
kiaa,Kiel AMS,Germany,
lzu,Lanzhou University,China,
veraa,Vienna University,Austria,
xlqg,Chinese Academy of Sciences,China,
zk,Chinese Academy of Social Sciences,China,
zka,Chinese Academy of Social Sciences,China,
zkb,Chinese Academy of Social Sciences,China,
zkc,Chinese Academy of Social Sciences,China,
zkd,Chinese Academy of Social Sciences,China,
zke,Chinese Academy of Social Sciences,China,
zkf,Chinese Academy of Social Sciences,China,
zkg,Chinese Academy of Social Sciences,China,
zkh,Chinese Academy of Social Sciences,China,
zki,Chinese Academy of Social Sciences,China,
zkj,Chinese Academy of Social Sciences,China,
zko,Chinese Academy of Social Sciences,China,
